,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,11070000000.0,10029000000.0,1041000000.0,1119000000.0,761000000.0,2.37,1351000000.0,1119000000.0,321700000.0,3065000000.0,6968000000.0,2895000000.0,14872000000.0,24708000000.0,39580000000.0,150000000.0,12625000000.0,6154000000.0,26651000000.0,39276000000.0,304000000.0,232000000.0,2085000000.0,-106000000.0,-148000000.0,-371000000.0,-770000000.0,96.52
2013-06-30,11408000000.0,10184000000.0,1224000000.0,1298000000.0,859000000.0,2.68,1538000000.0,1298000000.0,320800000.0,2845000000.0,6826000000.0,2895000000.0,14379000000.0,24568000000.0,38947000000.0,0.0,12253000000.0,6140000000.0,26000000000.0,38253000000.0,694000000.0,240000000.0,623000000.0,-176000000.0,-191000000.0,-371000000.0,-652000000.0,108.46
2013-09-30,11347000000.0,10163000000.0,1184000000.0,1254000000.0,873000000.0,2.7199999999999998,1486000000.0,1254000000.0,321300000.0,2661000000.0,6919000000.0,2920000000.0,14119000000.0,24788000000.0,38907000000.0,0.0,12293000000.0,6156000000.0,25337000000.0,37630000000.0,1277000000.0,232000000.0,900000000.0,-209000000.0,-445000000.0,-370000000.0,-639000000.0,127.55
2013-12-31,11533000000.0,10795000000.0,738000000.0,834000000.0,488000000.0,1.53,1120000000.0,834000000.0,320900000.0,2617000000.0,5834000000.0,2977000000.0,13329000000.0,22859000000.0,36188000000.0,0.0,11120000000.0,6152000000.0,20150000000.0,31270000000.0,4918000000.0,286000000.0,938000000.0,-345000000.0,-337000000.0,-428000000.0,-645000000.0,148.66
2014-03-31,10650000000.0,9279000000.0,1371000000.0,1432000000.0,933000000.0,2.92,1669000000.0,1432000000.0,319100000.0,3264000000.0,6255000000.0,2949000000.0,14234000000.0,22685000000.0,36919000000.0,0.0,11995000000.0,6152000000.0,20124000000.0,32119000000.0,4800000000.0,237000000.0,2100000000.0,-103000000.0,-126000000.0,-444000000.0,-1327000000.0,163.24
2014-06-30,11306000000.0,9965000000.0,1341000000.0,1426000000.0,889000000.0,2.81,1668000000.0,1426000000.0,316800000.0,3436000000.0,6434000000.0,2646000000.0,14163000000.0,23087000000.0,37250000000.0,0.0,12147000000.0,6169000000.0,20784000000.0,32931000000.0,4319000000.0,242000000.0,977000000.0,-150000000.0,-300000000.0,-421000000.0,-505000000.0,160.73
2014-09-30,11114000000.0,9839000000.0,1275000000.0,1392000000.0,888000000.0,2.81,1639000000.0,1392000000.0,316300000.0,2963000000.0,6081000000.0,2898000000.0,13684000000.0,23249000000.0,36933000000.0,0.0,12133000000.0,6165000000.0,20226000000.0,32359000000.0,4574000000.0,247000000.0,990000000.0,-203000000.0,-638000000.0,-421000000.0,-825000000.0,182.78
2014-12-31,6876000000.0,6180000000.0,696000000.0,762000000.0,904000000.0,2.87,1030000000.0,762000000.0,316800000.0,1446000000.0,5877000000.0,2804000000.0,12322000000.0,24724000000.0,37046000000.0,0.0,11112000000.0,6142000000.0,22534000000.0,33646000000.0,3400000000.0,268000000.0,-201000000.0,-389000000.0,-659000000.0,-474000000.0,-657000000.0,192.57
2015-03-31,10111000000.0,8848000000.0,1263000000.0,1356000000.0,878000000.0,2.7800000000000002,1600000000.0,1356000000.0,315400000.0,3486000000.0,6545000000.0,3087000000.0,15218000000.0,24534000000.0,39752000000.0,0.0,11567000000.0,8404000000.0,24665000000.0,36232000000.0,3520000000.0,244000000.0,957000000.0,-118000000.0,-92000000.0,-498000000.0,1175000000.0,202.96
2015-06-30,11643000000.0,10272000000.0,1371000000.0,1445000000.0,929000000.0,2.98,1691000000.0,1445000000.0,312000000.0,3202000000.0,7064000000.0,3032000000.0,15287000000.0,24561000000.0,39848000000.0,452000000.0,12624000000.0,7950000000.0,24242000000.0,36866000000.0,2982000000.0,246000000.0,1263000000.0,-191000000.0,-126000000.0,-467000000.0,-1421000000.0,185.9
2015-09-30,10060000000.0,8963000000.0,1097000000.0,1192000000.0,865000000.0,2.8,1428000000.0,1192000000.0,308400000.0,3300000000.0,6740000000.0,3237000000.0,15055000000.0,24562000000.0,39617000000.0,952000000.0,12980000000.0,7460000000.0,23824000000.0,36804000000.0,2813000000.0,236000000.0,1517000000.0,-191000000.0,-193000000.0,-462000000.0,-1226000000.0,207.31
2015-12-31,8722000000.0,7961000000.0,761000000.0,719000000.0,933000000.0,3.05,1019000000.0,719000000.0,310300000.0,1090000000.0,7254000000.0,4819000000.0,14573000000.0,34731000000.0,49304000000.0,956000000.0,13918000000.0,14305000000.0,32289000000.0,46207000000.0,3097000000.0,300000000.0,1364000000.0,-439000000.0,-9323000000.0,-505000000.0,5749000000.0,217.15
2016-03-31,10368000000.0,9273000000.0,1095000000.0,1158000000.0,898000000.0,2.61,1454000000.0,1158000000.0,304500000.0,1452000000.0,8620000000.0,5223000000.0,15767000000.0,34391000000.0,50158000000.0,956000000.0,14912000000.0,14320000000.0,32069000000.0,46981000000.0,3177000000.0,296000000.0,1667000000.0,-151000000.0,-147000000.0,-533000000.0,-1158000000.0,221.5
2016-06-30,11577000000.0,10347000000.0,1230000000.0,1375000000.0,1021000000.0,3.37,1672000000.0,1375000000.0,303100000.0,1269000000.0,9275000000.0,5136000000.0,16073000000.0,34335000000.0,50408000000.0,502000000.0,15595000000.0,14307000000.0,31816000000.0,47411000000.0,2997000000.0,297000000.0,1473000000.0,-235000000.0,-180000000.0,-501000000.0,-1476000000.0,248.17
2016-09-30,11551000000.0,10167000000.0,1384000000.0,1588000000.0,2395000000.0,8.02,1883000000.0,1588000000.0,298500000.0,2895000000.0,8955000000.0,4852000000.0,17110000000.0,31629000000.0,48739000000.0,0.0,14425000000.0,14304000000.0,31884000000.0,46309000000.0,2430000000.0,295000000.0,1320000000.0,-241000000.0,-224000000.0,-484000000.0,530000000.0,239.72
2016-12-31,13794000000.0,12102000000.0,1692000000.0,1767000000.0,859000000.0,3.39,2094000000.0,1767000000.0,299300000.0,1837000000.0,8202000000.0,4670000000.0,15108000000.0,32698000000.0,47806000000.0,0.0,12542000000.0,14282000000.0,33658000000.0,46200000000.0,1606000000.0,327000000.0,729000000.0,-436000000.0,-434000000.0,-530000000.0,-1353000000.0,249.94
2017-03-31,11212000000.0,9806000000.0,1406000000.0,1402000000.0,789000000.0,2.63,1687000000.0,1402000000.0,290000000.0,2216000000.0,8869000000.0,5074000000.0,16586000000.0,32250000000.0,48836000000.0,0.0,13597000000.0,14276000000.0,33654000000.0,47251000000.0,1585000000.0,285000000.0,1666000000.0,-170000000.0,-166000000.0,-544000000.0,-1121000000.0,267.6
2017-06-30,12563000000.0,10907000000.0,1656000000.0,1716000000.0,955000000.0,3.27,2012000000.0,1716000000.0,288500000.0,2452000000.0,8762000000.0,4941000000.0,16566000000.0,32145000000.0,48711000000.0,0.0,13641000000.0,14283000000.0,33721000000.0,47362000000.0,1349000000.0,296000000.0,1544000000.0,-278000000.0,-273000000.0,-525000000.0,-1035000000.0,277.61
2017-09-30,12341000000.0,10741000000.0,1600000000.0,1677000000.0,963000000.0,3.27,1976000000.0,1677000000.0,287100000.0,2941000000.0,9021000000.0,4803000000.0,17208000000.0,31738000000.0,48946000000.0,0.0,13084000000.0,14268000000.0,33687000000.0,46771000000.0,2175000000.0,299000000.0,1754000000.0,-222000000.0,-216000000.0,-522000000.0,-1049000000.0,310.29
2017-12-31,13844000000.0,12135000000.0,1709000000.0,1949000000.0,-744000000.0,-2.25,2264000000.0,1949000000.0,287800000.0,2861000000.0,2265000000.0,2878000000.0,17505000000.0,29115000000.0,46620000000.0,750000000.0,12913000000.0,13513000000.0,34483000000.0,47396000000.0,-776000000.0,315000000.0,1512000000.0,-507000000.0,-492000000.0,-572000000.0,-1100000000.0,321.05
2018-03-31,11635000000.0,9977000000.0,1658000000.0,1725000000.0,1157000000.0,4.05,2004000000.0,1725000000.0,285500000.0,2393000000.0,2373000000.0,3196000000.0,17816000000.0,28818000000.0,46634000000.0,750000000.0,13974000000.0,13473000000.0,32771000000.0,46745000000.0,-111000000.0,279000000.0,632000000.0,-216000000.0,-86000000.0,-586000000.0,-1014000000.0,337.93
2018-06-30,13398000000.0,11645000000.0,1753000000.0,1795000000.0,1163000000.0,4.08,2082000000.0,1795000000.0,285000000.0,1181000000.0,2482000000.0,3038000000.0,16504000000.0,28621000000.0,45125000000.0,750000000.0,13881000000.0,13479000000.0,30765000000.0,44646000000.0,479000000.0,287000000.0,-72000000.0,-264000000.0,-243000000.0,-570000000.0,-897000000.0,295.43
2018-09-30,14318000000.0,12397000000.0,1921000000.0,1963000000.0,1473000000.0,5.18,2254000000.0,1963000000.0,284300000.0,897000000.0,2416000000.0,3050000000.0,16859000000.0,28636000000.0,45495000000.0,1240000000.0,15204000000.0,13486000000.0,29289000000.0,44493000000.0,1002000000.0,291000000.0,361000000.0,-339000000.0,-344000000.0,-569000000.0,-301000000.0,345.96
2018-12-31,14411000000.0,12469000000.0,1942000000.0,1851000000.0,1253000000.0,4.43,2155000000.0,1851000000.0,284500000.0,772000000.0,2444000000.0,2997000000.0,16103000000.0,28773000000.0,44876000000.0,1500000000.0,14398000000.0,12604000000.0,29029000000.0,43427000000.0,1449000000.0,304000000.0,2217000000.0,-459000000.0,-402000000.0,-622000000.0,-1940000000.0,261.84
2019-03-31,14336000000.0,12148000000.0,2188000000.0,2283000000.0,1704000000.0,6.03,2560000000.0,2283000000.0,282500000.0,991000000.0,2833000000.0,3285000000.0,18031000000.0,29653000000.0,47684000000.0,1300000000.0,15403000000.0,12621000000.0,29759000000.0,45162000000.0,2522000000.0,277000000.0,1663000000.0,-284000000.0,-257000000.0,-638000000.0,-1187000000.0,300.16
2019-06-30,14427000000.0,12434000000.0,1993000000.0,2008000000.0,1420000000.0,5.03,2296000000.0,2008000000.0,282200000.0,1167000000.0,2546000000.0,3599000000.0,18100000000.0,29740000000.0,47840000000.0,900000000.0,15132000000.0,12637000000.0,29812000000.0,44944000000.0,2896000000.0,288000000.0,1668000000.0,-249000000.0,-251000000.0,-622000000.0,-1241000000.0,363.54
2019-09-30,15171000000.0,13108000000.0,2063000000.0,2105000000.0,1608000000.0,5.7,2407000000.0,2105000000.0,282000000.0,2539000000.0,2384000000.0,3474000000.0,19803000000.0,29472000000.0,49275000000.0,900000000.0,15515000000.0,12652000000.0,29823000000.0,45338000000.0,3937000000.0,302000000.0,2490000000.0,-308000000.0,-295000000.0,-621000000.0,-823000000.0,390.06
2019-12-31,15878000000.0,13755000000.0,2123000000.0,2149000000.0,1498000000.0,5.32,2471000000.0,2149000000.0,282000000.0,1514000000.0,2337000000.0,3619000000.0,17095000000.0,30433000000.0,47528000000.0,1250000000.0,13972000000.0,11404000000.0,30385000000.0,44357000000.0,3171000000.0,322000000.0,1490000000.0,-643000000.0,-438000000.0,-675000000.0,-2077000000.0,389.38
2020-03-31,15651000000.0,13560000000.0,2091000000.0,2122000000.0,1717000000.0,6.1,2423000000.0,2122000000.0,281300000.0,1988000000.0,2892000000.0,3539000000.0,19222000000.0,30026000000.0,49248000000.0,1250000000.0,15652000000.0,11439000000.0,30109000000.0,45761000000.0,3487000000.0,301000000.0,2314000000.0,-293000000.0,-295000000.0,-693000000.0,-1545000000.0,338.95
2020-06-30,16220000000.0,14007000000.0,2213000000.0,2086000000.0,1626000000.0,5.8100000000000005,2393000000.0,2086000000.0,279800000.0,2855000000.0,2835000000.0,3521000000.0,19570000000.0,30033000000.0,49603000000.0,500000000.0,14888000000.0,12174000000.0,30929000000.0,45817000000.0,3786000000.0,307000000.0,2182000000.0,-343000000.0,-337000000.0,-671000000.0,-978000000.0,364.92
2020-09-30,16495000000.0,14359000000.0,2136000000.0,2147000000.0,1698000000.0,6.08,2466000000.0,2147000000.0,279300000.0,3585000000.0,2480000000.0,3293000000.0,20290000000.0,30483000000.0,50773000000.0,1000000000.0,15201000000.0,11675000000.0,30586000000.0,45787000000.0,4986000000.0,319000000.0,1880000000.0,-408000000.0,-385000000.0,-672000000.0,-765000000.0,383.28
2020-12-31,17032000000.0,14818000000.0,2214000000.0,2289000000.0,1792000000.0,6.41,2652000000.0,2289000000.0,280000000.0,3160000000.0,1978000000.0,3545000000.0,19378000000.0,31332000000.0,50710000000.0,500000000.0,13933000000.0,11669000000.0,30739000000.0,44672000000.0,6038000000.0,363000000.0,1807000000.0,-722000000.0,-993000000.0,-728000000.0,-1239000000.0,354.98
2021-03-31,16258000000.0,14072000000.0,2186000000.0,2182000000.0,1837000000.0,6.58,2518000000.0,2182000000.0,279000000.0,2933000000.0,2214000000.0,3256000000.0,20252000000.0,31185000000.0,51437000000.0,506000000.0,14717000000.0,11657000000.0,30387000000.0,45104000000.0,6333000000.0,336000000.0,1748000000.0,-281000000.0,-169000000.0,-739000000.0,-1806000000.0,369.5
2021-06-30,17029000000.0,14878000000.0,2151000000.0,2192000000.0,1815000000.0,6.54,2526000000.0,2192000000.0,277400000.0,2745000000.0,2611000000.0,3119000000.0,20674000000.0,31425000000.0,52099000000.0,506000000.0,15242000000.0,11665000000.0,30327000000.0,45569000000.0,6530000000.0,334000000.0,1268000000.0,-318000000.0,-220000000.0,-721000000.0,-1236000000.0,378.35
2021-09-30,16028000000.0,13726000000.0,2302000000.0,2294000000.0,614000000.0,2.21,2631000000.0,2294000000.0,276000000.0,2727000000.0,2267000000.0,2903000000.0,21357000000.0,30486000000.0,51843000000.0,6000000.0,15026000000.0,11668000000.0,27186000000.0,42212000000.0,9631000000.0,329000000.0,1937000000.0,-316000000.0,-230000000.0,-718000000.0,-1725000000.0,345.1
2021-12-31,17729000000.0,15307000000.0,2422000000.0,2455000000.0,2049000000.0,7.47,2787000000.0,2455000000.0,273000000.0,3604000000.0,1963000000.0,2981000000.0,19815000000.0,31058000000.0,50873000000.0,1106000000.0,13997000000.0,11670000000.0,25917000000.0,39914000000.0,10959000000.0,365000000.0,4268000000.0,-607000000.0,-542000000.0,-762000000.0,-2849000000.0,355.41
2022-03-31,14964000000.0,13055000000.0,1909000000.0,1933000000.0,1733000000.0,6.44,2238000000.0,1933000000.0,268000000.0,1883000000.0,2527000000.0,3144000000.0,20390000000.0,31120000000.0,51510000000.0,500000000.0,16047000000.0,11145000000.0,25461000000.0,41508000000.0,10002000000.0,329000000.0,1410000000.0,-268000000.0,-251000000.0,-767000000.0,-2880000000.0,441.4
2022-06-30,15446000000.0,13490000000.0,1956000000.0,1963000000.0,309000000.0,1.16,2299000000.0,1963000000.0,266000000.0,1775000000.0,3401000000.0,3431000000.0,20973000000.0,30785000000.0,51758000000.0,0.0,16479000000.0,11644000000.0,23847000000.0,40326000000.0,11432000000.0,343000000.0,1331000000.0,-304000000.0,-332000000.0,-744000000.0,-1107000000.0,429.96
2022-09-30,16583000000.0,14463000000.0,2120000000.0,2159000000.0,1778000000.0,6.71,2413000000.0,2159000000.0,264000000.0,2430000000.0,2484000000.0,3113000000.0,20960000000.0,31070000000.0,52030000000.0,0.0,16347000000.0,11480000000.0,23717000000.0,40064000000.0,11966000000.0,293000000.0,3133000000.0,-405000000.0,-398000000.0,-739000000.0,-2080000000.0,386.29
2022-12-31,18991000000.0,16689000000.0,2302000000.0,2293000000.0,1912000000.0,0.0,0.0,2293000000.0,257100000.0,2547000000.0,2505000000.0,3088000000.0,20991000000.0,31889000000.0,52880000000.0,0.0,15887000000.0,15429000000.0,27727000000.0,43614000000.0,9266000000.0,439000000.0,1928000000.0,-693000000.0,-808000000.0,-766000000.0,-1003000000.0,486.49
