,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,17683000000.0,12298000000.0,5385000000.0,0.0,1247000000.0,956000000.0,0.87,1247000000.0,1247000000.0,1096926000.0,9983000000.0,23052000000.0,33035000000.0,808650000000.0001,841685000000.0001,3293000000.0,437175000000.0,22917000000.0,339638000000.0,776813000000.0001,64872000000.0,0.0,2733000000.0,-9719000000.0,-203000000.0,1324000000.0,33.89
2013-06-30,15721000000.0,11135000000.0,4586000000.0,0.0,561000000.0,471000000.0,0.43,561000000.0,561000000.0,1097889000.0,9184000000.0,23283000000.0,32467000000.0,783195000000.0001,815662000000.0001,3293000000.0,421487000000.0,22773000000.0,333767000000.0,755254000000.0001,60408000000.0,0.0,4581000000.0,1866000000.0,-302000000.0,-7114000000.0,40.78
2013-09-30,16337000000.0,11384000000.0,4953000000.0,0.0,976000000.0,942000000.0,0.84,976000000.0,976000000.0,1104893000.0,11376000000.0,23473000000.0,34849000000.0,787794000000.0001,822643000000.0001,3293000000.0,422645000000.0,22448000000.0,338730000000.0,761375000000.0001,61268000000.0,0.0,2670000000.0,1278000000.0,-303000000.0,-1794000000.0,41.84
2013-12-31,18458000000.0,12728000000.0,5730000000.0,0.0,1268000000.0,877000000.0,0.77,1268000000.0,1268000000.0,1105580000.0,7585000000.0,21859000000.0,29444000000.0,855852000000.0001,885296000000.0001,3368000000.0,421855000000.0,22849000000.0,401345000000.0,823200000000.0001,62096000000.0,547000000.0,6147000000.0,-8590000000.0,-311000000.0,-1323000000.0,48.06
2014-03-31,17085000000.0,11096000000.0,5989000000.0,0.0,1826000000.0,1298000000.0,1.1400000000000001,1826000000.0,1826000000.0,1126923000.0,8573000000.0,23031000000.0,31604000000.0,859299000000.0001,890903000000.0001,3293000000.0,421249000000.0,20989000000.0,403322000000.0,824571000000.0001,66332000000.0,0.0,2484000000.0,2164000000.0,-311000000.0,-3659000000.0,47.06
2014-06-30,18266000000.0,12094000000.0,6172000000.0,0.0,1950000000.0,1335000000.0,1.17,1950000000.0,1950000000.0,1127986000.0,7393000000.0,23730000000.0,31123000000.0,879997000000.0001,911120000000.0,3293000000.0,425796000000.0,20979000000.0,415150000000.0,840946000000.0001,70174000000.0,0.0,4437000000.0,-8864000000.0,-395000000.0,3225000000.0,49.52
2014-09-30,18846000000.0,11676000000.0,7170000000.0,0.0,2952000000.0,2064000000.0,1.81,2952000000.0,2952000000.0,1125166000.0,8783000000.0,23814000000.0,32597000000.0,876030000000.0001,908627000000.0,3293000000.0,426362000000.0,20585000000.0,410966000000.0,837328000000.0001,71299000000.0,0.0,4029000000.0,-4969000000.0,-395000000.0,2411000000.0,47.88
2014-12-31,19119000000.0,12555000000.0,6564000000.0,0.0,2076000000.0,1490000000.0,1.3,2076000000.0,2076000000.0,1128700000.0,10808000000.0,22244000000.0,33052000000.0,869285000000.0001,902337000000.0,3293000000.0,420434000000.0,20482000000.0,409343000000.0,829777000000.0001,72560000000.0,102000000.0,5426000000.0,-3386000000.0,-398000000.0,279000000.0,48.21
2015-03-31,18710000000.0,11591000000.0,7119000000.0,0.0,3059000000.0,2128000000.0,1.87,3059000000.0,3059000000.0,1125704000.0,8127000000.0,24190000000.0,32317000000.0,887473000000.0001,919790000000.0,3293000000.0,419847000000.0,21910000000.0,425629000000.0,845476000000.0001,74314000000.0,0.0,2686000000.0,-6900000000.0,-394000000.0,1723000000.0,45.05
2015-06-30,16166000000.0,10981000000.0,5185000000.0,0.0,1113000000.0,1042000000.0,0.92,1113000000.0,1113000000.0,1117808000.0,8074000000.0,24872000000.0,32946000000.0,865463000000.0001,898409000000.0001,3293000000.0,413903000000.0,20934000000.0,414609000000.0,828512000000.0001,69897000000.0,0.0,4202000000.0,140000000.0,-420000000.0,-4287000000.0,49.9
2015-09-30,18031000000.0,11335000000.0,6696000000.0,0.0,2163000000.0,1197000000.0,1.06,2163000000.0,2163000000.0,1118856000.0,10216000000.0,25808000000.0,36024000000.0,846436000000.0001,882460000000.0001,3294000000.0,413885000000.0,20907000000.0,397587000000.0,811472000000.0001,70988000000.0,0.0,2639000000.0,-147000000.0,-420000000.0,-288000000.0,42.02
2015-12-31,8436000000.0,7008000000.0,1428000000.0,0.0,-684000000.0,848000000.0,0.7000000000000001,-684000000.0,-684000000.0,1117800000.0,12752000000.0,22863000000.0,35615000000.0,842318000000.0001,877933000000.0001,3294000000.0,414653000000.0,22162000000.0,394861000000.0,809514000000.0001,68419000000.0,-448000000.0,4525000000.0,-3491000000.0,-419000000.0,1634000000.0,42.97
2016-03-31,18433000000.0,11319000000.0,7114000000.0,0.0,2922000000.0,2195000000.0,1.98,2922000000.0,2922000000.0,1100800000.0,13290000000.0,27968000000.0,41258000000.0,876170000000.0001,917428000000.0,3268000000.0,425555000000.0,22042000000.0,415908000000.0,841463000000.0001,75965000000.0,0.0,1913000000.0,-5739000000.0,-413000000.0,4291000000.0,39.16
2016-06-30,15244000000.0,12098000000.0,3146000000.0,0.0,-100000000.0,64000000.0,0.06,-100000000.0,-100000000.0,1100300000.0,17067000000.0,26086000000.0,43153000000.0,899414000000.0001,942567000000.0,3271000000.0,439782000000.0,20699000000.0,423412000000.0,863194000000.0001,79373000000.0,0.0,4291000000.0,-4169000000.0,-441000000.0,3376000000.0,35.5
2016-09-30,15833000000.0,11458000000.0,4375000000.0,0.0,1159000000.0,571000000.0,0.51,1159000000.0,1159000000.0,1100500000.0,15883000000.0,26178000000.0,42061000000.0,910843000000.0,952904000000.0,3369000000.0,447094000000.0,20637000000.0,427344000000.0,874438000000.0001,78466000000.0,0.0,2927000000.0,-4678000000.0,-441000000.0,613000000.0,39.6
2016-12-31,11277000000.0,7882000000.0,3395000000.0,0.0,300000000.0,-2083000000.0,-1.94,300000000.0,300000000.0,1100500000.0,12651000000.0,15465000000.0,28116000000.0,870648000000.0001,898764000000.0001,3411000000.0,358562000000.0,17715000000.0,472500000000.0001,831062000000.0001,67702000000.0,-458000000.0,5643000000.0,8736000000.0,-441000000.0,-11777000000.0,48.03
2017-03-31,14964000000.0,10624000000.0,4340000000.0,0.0,1072000000.0,867000000.0,0.75,1072000000.0,1072000000.0,1090400000.0,17411000000.0,25941000000.0,43352000000.0,871335000000.0001,914687000000.0,3429000000.0,438807000000.0,20570000000.0,407772000000.0,846579000000.0001,68108000000.0,0.0,2098000000.0,-4276000000.0,-437000000.0,1499000000.0,47.08
2017-06-30,15333000000.0,11032000000.0,4301000000.0,0.0,1018000000.0,865000000.0,0.77,1018000000.0,1018000000.0,1074000000.0,17319000000.0,26553000000.0,43872000000.0,881327000000.0001,925199000000.0,3404000000.0,443164000000.0,20743000000.0,412366000000.0,855530000000.0001,69669000000.0,0.0,3401000000.0,-2873000000.0,-431000000.0,-693000000.0,48.97
2017-09-30,16171000000.0,12368000000.0,3803000000.0,0.0,485000000.0,-97000000.0,-0.08,485000000.0,485000000.0,1062300000.0,13023000000.0,18591000000.0,31614000000.0,688901000000.0001,720515000000.0001,3358000000.0,379833000000.0,17908000000.0,283738000000.0,663571000000.0001,56944000000.0,0.0,4734000000.0,-10009000000.0,-427000000.0,883000000.0,51.95
2017-12-31,15840000000.0,11127000000.0,4713000000.0,0.0,961000000.0,2272000000.0,1.97,961000000.0,961000000.0,1069700000.0,12701000000.0,18423000000.0,31124000000.0,688768000000.0001,719892000000.0001,3621000000.0,382431000000.0,16807000000.0,278591000000.0,661022000000.0001,58870000000.0,-249000000.0,2050000000.0,282000000.0,-422000000.0,-2595000000.0,50.56
2018-03-31,14805000000.0,9784000000.0,5021000000.0,0.0,1656000000.0,1247000000.0,1.19,1656000000.0,1656000000.0,1035900000.0,13927000000.0,19368000000.0,33295000000.0,679289000000.0001,712584000000.0001,3671000000.0,386280000000.0,16815000000.0,269796000000.0,656076000000.0001,56508000000.0,0.0,1296000000.0,-485000000.0,-416000000.0,218000000.0,45.89
2018-06-30,21185000000.0,16599000000.0,4586000000.0,0.0,1101000000.0,845000000.0,0.8300000000000001,1101000000.0,1101000000.0,1015600000.0,16312000000.0,19608000000.0,35920000000.0,670413000000.0001,706333000000.0001,3625000000.0,387974000000.0,15621000000.0,264527000000.0,652501000000.0001,53832000000.0,0.0,5608000000.0,-4279000000.0,-428000000.0,1394000000.0,43.6
2018-09-30,16289000000.0,11741000000.0,4548000000.0,0.0,1079000000.0,880000000.0,0.89,1079000000.0,1079000000.0,992700000.0,12490000000.0,19820000000.0,32310000000.0,666141000000.0001,698451000000.0001,3436000000.0,390378000000.0,14481000000.0,256264000000.0,646642000000.0001,51809000000.0,0.0,3533000000.0,-6228000000.0,-419000000.0,-1081000000.0,46.72
2018-12-31,15662000000.0,9796000000.0,5866000000.0,0.0,2471000000.0,2010000000.0,2.04,2471000000.0,2471000000.0,1005900000.0,15821000000.0,19644000000.0,35465000000.0,652073000000.0001,687538000000.0001,3415000000.0,391522000000.0,13889000000.0,243058000000.0,634580000000.0001,52958000000.0,-385000000.0,1301000000.0,5358000000.0,-415000000.0,-3332000000.0,41.06
2019-03-31,16302000000.0,11333000000.0,4969000000.0,0.0,1744000000.0,1349000000.0,1.4,1744000000.0,1744000000.0,956500000.0,14506000000.0,20615000000.0,35121000000.0,678067000000.0001,713188000000.0001,3437000000.0,397032000000.0,13898000000.0,257418000000.0,654450000000.0001,58738000000.0,0.0,2072000000.0,-5699000000.0,-405000000.0,2316000000.0,42.57
2019-06-30,17497000000.0,11810000000.0,5687000000.0,0.0,2297000000.0,1684000000.0,1.77,2297000000.0,2297000000.0,946200000.0,18435000000.0,20522000000.0,38957000000.0,693210000000.0001,732167000000.0001,3307000000.0,403817000000.0,14372000000.0,264304000000.0,668121000000.0001,64046000000.0,0.0,2387000000.0,557000000.0,-419000000.0,934000000.0,49.67
2019-09-30,18678000000.0,12444000000.0,6234000000.0,0.0,2791000000.0,2152000000.0,2.31,2791000000.0,2791000000.0,929600000.0,19452000000.0,20723000000.0,40175000000.0,702637000000.0001,742812000000.0001,3291000000.0,405683000000.0,14456000000.0,268510000000.0,674193000000.0001,68619000000.0,0.0,4146000000.0,-5351000000.0,-413000000.0,2327000000.0,47.16
2019-12-31,17143000000.0,13549000000.0,3594000000.0,-50000000.0,-37000000.0,536000000.0,0.58,-37000000.0,-37000000.0,937600000.0,16598000000.0,20443000000.0,37041000000.0,703422000000.0001,740463000000.0001,3385000000.0,410793000000.0,14459000000.0,263288000000.0,674081000000.0001,66382000000.0,-369000000.0,5181000000.0,-7093000000.0,-406000000.0,-1009000000.0,50.97
2020-03-31,18310000000.0,9394000000.0,8916000000.0,4000000.0,5643000000.0,4366000000.0,4.75,5643000000.0,5643000000.0,914100000.0,24094000000.0,21224000000.0,45318000000.0,692423000000.0001,737741000000.0001,3449000000.0,409516000000.0,14510000000.0,257762000000.0,667278000000.0001,70463000000.0,0.0,1847000000.0,-8337000000.0,-404000000.0,14157000000.0,30.57
2020-06-30,14099000000.0,10919000000.0,3180000000.0,-121000000.0,197000000.0,68000000.0,0.07,197000000.0,197000000.0,908800000.0,24289000000.0,20848000000.0,45137000000.0,722446000000.0001,767583000000.0001,3454000000.0,418461000000.0,15481000000.0,273182000000.0,691643000000.0001,75940000000.0,0.0,846000000.0,-1391000000.0,-419000000.0,680000000.0,36.52
2020-09-30,16015000000.0,11622000000.0,4393000000.0,317000000.0,923000000.0,633000000.0,0.6900000000000001,923000000.0,923000000.0,908700000.0,24405000000.0,20712000000.0,45117000000.0,735375000000.0001,780492000000.0001,3503000000.0,428926000000.0,15463000000.0,277997000000.0,706923000000.0001,73569000000.0,0.0,3793000000.0,-6679000000.0,-419000000.0,2885000000.0,37.17
2020-12-31,19418000000.0,15830000000.0,3588000000.0,-68000000.0,164000000.0,124000000.0,0.14,164000000.0,164000000.0,907800000.0,19795000000.0,17870000000.0,37665000000.0,757481000000.0001,795146000000.0001,3546000000.0,436035000000.0,15448000000.0,284294000000.0,720329000000.0001,74817000000.0,-197000000.0,5153000000.0,-2162000000.0,-415000000.0,-6993000000.0,46.95
2021-03-31,15562000000.0,12121000000.0,3441000000.0,-194000000.0,291000000.0,290000000.0,0.33,291000000.0,291000000.0,885400000.0,19635000000.0,18941000000.0,38576000000.0,731238000000.0001,769814000000.0001,3455000000.0,426549000000.0,15342000000.0,277128000000.0,703677000000.0001,66137000000.0,0.0,1496000000.0,-1054000000.0,-408000000.0,-564000000.0,60.79
2021-06-30,18524000000.0,11156000000.0,7368000000.0,-115000000.0,4487000000.0,3366000000.0,3.83,4487000000.0,4487000000.0,873300000.0,25037000000.0,18288000000.0,43325000000.0,729928000000.0001,773253000000.0001,3547000000.0,428085000000.0,15336000000.0,275745000000.0,703830000000.0001,69423000000.0,0.0,2254000000.0,1009000000.0,-421000000.0,1632000000.0,59.85
2021-09-30,16905000000.0,11579000000.0,5326000000.0,175000000.0,2042000000.0,1521000000.0,1.77,2042000000.0,2042000000.0,854900000.0,18956000000.0,17816000000.0,36772000000.0,724892000000.0001,761664000000.0001,3501000000.0,424772000000.0,14816000000.0,267559000000.0,692331000000.0001,69333000000.0,0.0,3506000000.0,-8280000000.0,-413000000.0,-1108000000.0,61.73
2021-12-31,20089000000.0,15512000000.0,4577000000.0,-63000000.0,1306000000.0,1176000000.0,1.3900000000000001,1306000000.0,1306000000.0,862700000.0,20047000000.0,17333000000.0,37380000000.0,722328000000.0001,759708000000.0001,3497000000.0,426602000000.0,14699000000.0,265357000000.0,691959000000.0001,67749000000.0,-161000000.0,5340000000.0,-2862000000.0,-405000000.0,-1335000000.0,62.49
2022-03-31,15756000000.0,12021000000.0,3735000000.0,-122000000.0,715000000.0,606000000.0,0.74,715000000.0,715000000.0,823800000.0,23488000000.0,17965000000.0,41453000000.0,682831000000.0001,724284000000.0001,3479000000.0,426033000000.0,14602000000.0,244014000000.0,670047000000.0001,54237000000.0,0.0,1954000000.0,-426000000.0,-397000000.0,1951000000.0,70.28
2022-06-30,15556000000.0,12475000000.0,3081000000.0,-16000000.0,-2000000.0,103000000.0,0.13,-2000000.0,-2000000.0,809700000.0,20548000000.0,18043000000.0,38591000000.0,624302000000.0001,662893000000.0001,3353000000.0,417148000000.0,14418000000.0,208378000000.0,625526000000.0001,37367000000.0,0.0,4438000000.0,2115000000.0,-408000000.0,-9133000000.0,62.79
2022-09-30,22270000000.0,19128000000.0,3142000000.0,-409000000.0,419000000.0,331000000.0,0.41000000000000003,419000000.0,419000000.0,795800000.0,22200000000.0,17860000000.0,40060000000.0,610044000000.0001,650104000000.0001,3341000000.0,421183000000.0,15249000000.0,203591000000.0,624774000000.0001,25330000000.0,0.0,4278000000.0,-4112000000.0,-400000000.0,1775000000.0,60.78
