,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,10171000000.0,8829000000.0,1342000000.0,2901000000.0,-1559000000.0,-720000000.0,-1.55,-1450000000.0,-1559000000.0,464300000.0,14477000000.0,14477000000.0,709620000000.0001,724097000000.0001,2228000000.0,351462000000.0,25488000000.0,331969000000.0,683431000000.0001,40666000000.0,109000000.0,187000000.0,-3652000000.0,-211000000.0,349000000.0,58.99
2013-06-30,10041000000.0,7863000000.0,2178000000.0,2947000000.0,-769000000.0,-514000000.0,-1.13,-717000000.0,-769000000.0,464100000.0,13045000000.0,13045000000.0,692570000000.0001,705615000000.0001,2620000000.0,343417000000.0,23642000000.0,326290000000.0,669707000000.0001,35908000000.0,52000000.0,2199000000.0,-4201000000.0,-196000000.0,916000000.0,73.03
2013-09-30,11310000000.0,7578000000.0,3732000000.0,2206000000.0,1526000000.0,1027000000.0,2.11,1703000000.0,1526000000.0,462600000.0,12650000000.0,12650000000.0,710476000000.0001,723126000000.0001,3118000000.0,349868000000.0,23642000000.0,338142000000.0,688010000000.0001,35116000000.0,177000000.0,3097000000.0,-4423000000.0,-192000000.0,887000000.0,77.98
2013-12-31,9939000000.0,7624000000.0,2315000000.0,3197000000.0,-882000000.0,-460000000.0,-0.9400000000000001,-809000000.0,-882000000.0,463100000.0,11439000000.0,11439000000.0,720342000000.0001,731781000000.0001,2669000000.0,346185000000.0,23553000000.0,349715000000.0,695900000000.0001,35881000000.0,73000000.0,2962000000.0,-4058000000.0,-248000000.0,90000000.0,92.22
2014-03-31,12854000000.0,8001000000.0,4853000000.0,3135000000.0,1718000000.0,1238000000.0,2.63,1759000000.0,1718000000.0,460900000.0,12472000000.0,12472000000.0,734263000000.0001,746735000000.0001,4019000000.0,352803000000.0,22565000000.0,355068000000.0,707871000000.0001,38864000000.0,41000000.0,1979000000.0,-2969000000.0,-252000000.0,1997000000.0,84.65
2014-06-30,13146000000.0,8355000000.0,4791000000.0,3284000000.0,1507000000.0,1090000000.0,2.26,1645000000.0,1507000000.0,459400000.0,12160000000.0,12160000000.0,753377000000.0001,765537000000.0001,3804000000.0,357568000000.0,23488000000.0,366162000000.0,723730000000.0001,41807000000.0,138000000.0,3576000000.0,-4556000000.0,-253000000.0,620000000.0,88.77
2014-09-30,12380000000.0,8961000000.0,3419000000.0,3135000000.0,284000000.0,512000000.0,1.0,559000000.0,284000000.0,458000000.0,17222000000.0,17222000000.0,746925000000.0001,764147000000.0001,4429000000.0,359409000000.0,22597000000.0,362386000000.0,721795000000.0001,42352000000.0,275000000.0,5867000000.0,-2152000000.0,-250000000.0,1501000000.0,87.94
2014-12-31,15725000000.0,13249000000.0,2476000000.0,4226000000.0,-1750000000.0,-1459000000.0,-2.69,-1573000000.0,-1750000000.0,458500000.0,14918000000.0,14918000000.0,751737000000.0001,766655000000.0001,3839000000.0,357755000000.0,19831000000.0,366551000000.0,724306000000.0001,42349000000.0,177000000.0,7974000000.0,-7411000000.0,-272000000.0,-2489000000.0,90.46
2015-03-31,15552000000.0,9253000000.0,6299000000.0,3551000000.0,2748000000.0,2036000000.0,4.44,2918000000.0,2748000000.0,454300000.0,19119000000.0,19119000000.0,759493000000.0001,778612000000.0001,3013000000.0,358996000000.0,19703000000.0,374042000000.0,733038000000.0001,45574000000.0,170000000.0,5528000000.0,1648000000.0,-268000000.0,-3086000000.0,80.31
2015-06-30,13712000000.0,8965000000.0,4747000000.0,2618000000.0,2129000000.0,1406000000.0,3.07,1911000000.0,2129000000.0,452600000.0,17038000000.0,17038000000.0,745693000000.0001,762731000000.0001,3621000000.0,355806000000.0,20264000000.0,364633000000.0,720439000000.0001,42292000000.0,-218000000.0,-2053000000.0,-934000000.0,-269000000.0,977000000.0,87.52
2015-09-30,13599000000.0,7855000000.0,5744000000.0,3695000000.0,2049000000.0,1465000000.0,3.22,2223000000.0,2049000000.0,451000000.0,20207000000.0,20207000000.0,734320000000.0001,754527000000.0001,1833000000.0,360673000000.0,20329000000.0,351084000000.0,711757000000.0001,42770000000.0,174000000.0,8355000000.0,-5877000000.0,-264000000.0,675000000.0,76.21
2015-12-31,14256000000.0,10245000000.0,4011000000.0,3168000000.0,843000000.0,735000000.0,1.6,830000000.0,843000000.0,451700000.0,17612000000.0,17612000000.0,739643000000.0001,757255000000.0001,1216000000.0,362384000000.0,19594000000.0,352948000000.0,715332000000.0001,41923000000.0,-13000000.0,2112000000.0,-2583000000.0,-316000000.0,-2137000000.0,81.41
2016-03-31,14329000000.0,8583000000.0,5746000000.0,4014000000.0,1732000000.0,1336000000.0,2.9699999999999998,1899000000.0,1732000000.0,445300000.0,22492000000.0,22492000000.0,750503000000.0001,772995000000.0001,969000000.0,375442000000.0,19608000000.0,348288000000.0,723730000000.0001,49265000000.0,167000000.0,6327000000.0,-2748000000.0,-318000000.0,1146000000.0,72.22
2016-06-30,14439000000.0,9645000000.0,4794000000.0,3453000000.0,1341000000.0,921000000.0,2.09,1598000000.0,1341000000.0,441100000.0,24142000000.0,24142000000.0,772348000000.0001,796490000000.0001,676000000.0,386342000000.0,18986000000.0,354970000000.0,741312000000.0001,55178000000.0,257000000.0,7197000000.0,-5041000000.0,-313000000.0,-562000000.0,71.34
2016-09-30,16961000000.0,11548000000.0,5413000000.0,3098000000.0,2315000000.0,1827000000.0,4.07,2293000000.0,2315000000.0,435900000.0,24728000000.0,24728000000.0,795137000000.0001,819865000000.0001,907000000.0,399712000000.0,18758000000.0,363179000000.0,762891000000.0001,56974000000.0,-22000000.0,3550000000.0,-5295000000.0,-308000000.0,2182000000.0,81.65
2016-12-31,13050000000.0,9642000000.0,3408000000.0,3091000000.0,317000000.0,284000000.0,0.65,233000000.0,317000000.0,438200000.0,14127000000.0,14127000000.0,769835000000.0001,783962000000.0001,1133000000.0,387246000000.0,18041000000.0,350628000000.0,737874000000.0001,46088000000.0,-84000000.0,-2198000000.0,-8610000000.0,-361000000.0,435000000.0,104.06
2017-03-31,13670000000.0,8580000000.0,5090000000.0,3348000000.0,1742000000.0,1369000000.0,3.18,1692000000.0,1742000000.0,429900000.0,13308000000.0,13308000000.0,784057000000.0001,797365000000.0001,1415000000.0,393146000000.0,17893000000.0,357245000000.0,750391000000.0001,46974000000.0,-50000000.0,1648000000.0,-3019000000.0,-329000000.0,430000000.0,106.68
2017-06-30,13441000000.0,9766000000.0,3675000000.0,3067000000.0,608000000.0,491000000.0,1.15,765000000.0,608000000.0,428300000.0,16605000000.0,16605000000.0,795985000000.0001,812590000000.0001,1779000000.0,400039000000.0,17626000000.0,363911000000.0,763950000000.0001,48640000000.0,157000000.0,3063000000.0,372000000.0,-324000000.0,22000000.0,108.14
2017-09-30,16313000000.0,9728000000.0,6585000000.0,3564000000.0,3021000000.0,2238000000.0,5.25,3185000000.0,3021000000.0,426200000.0,14541000000.0,14541000000.0,806590000000.0001,821131000000.0001,2358000000.0,403039000000.0,17153000000.0,367527000000.0,770566000000.0001,50565000000.0,164000000.0,4075000000.0,-5575000000.0,-323000000.0,-755000000.0,106.32
2017-12-31,16265000000.0,11633000000.0,4632000000.0,3516000000.0,1116000000.0,3765000000.0,8.89,1067000000.0,1116000000.0,427000000.0,14490000000.0,14490000000.0,817646000000.0001,832136000000.0001,1380000000.0,406886000000.0,17172000000.0,370739000000.0,777625000000.0001,54511000000.0,-49000000.0,4674000000.0,-3735000000.0,-320000000.0,-955000000.0,114.98
2018-03-31,13757000000.0,8553000000.0,5204000000.0,3511000000.0,1693000000.0,1363000000.0,3.23,1671000000.0,1693000000.0,422000000.0,15676000000.0,15676000000.0,814001000000.0001,829677000000.0001,1383000000.0,412444000000.0,18143000000.0,365058000000.0,777502000000.0001,52175000000.0,-22000000.0,2301000000.0,-2273000000.0,-388000000.0,889000000.0,103.55
2018-06-30,14655000000.0,10946000000.0,3709000000.0,3459000000.0,250000000.0,197000000.0,0.47000000000000003,320000000.0,250000000.0,419500000.0,14918000000.0,14918000000.0,804942000000.0001,819860000000.0001,2056000000.0,411850000000.0,16732000000.0,359418000000.0,771268000000.0001,48592000000.0,70000000.0,4374000000.0,-4216000000.0,-381000000.0,-480000000.0,93.51
2018-09-30,16148000000.0,10787000000.0,5361000000.0,3523000000.0,1838000000.0,1672000000.0,4.02,1835000000.0,1838000000.0,416200000.0,12466000000.0,12466000000.0,810282000000.0001,822748000000.0001,2393000000.0,412320000000.0,17421000000.0,363346000000.0,775666000000.0001,47082000000.0,-3000000.0,3593000000.0,-6452000000.0,-378000000.0,400000000.0,101.32
2018-12-31,18432000000.0,13650000000.0,4782000000.0,3729000000.0,1053000000.0,842000000.0,2.04,1169000000.0,1053000000.0,417600000.0,15353000000.0,15353000000.0,799725000000.0001,815078000000.0001,2451000000.0,426635000000.0,17378000000.0,339412000000.0,766047000000.0001,49031000000.0,116000000.0,11396000000.0,-8687000000.0,-374000000.0,-28000000.0,81.55
2019-03-31,15091000000.0,10360000000.0,4731000000.0,3591000000.0,1140000000.0,932000000.0,2.2800000000000002,1160000000.0,1140000000.0,409200000.0,14699000000.0,14699000000.0,834625000000.0001,849324000000.0001,2549000000.0,430858000000.0,18309000000.0,363016000000.0,793874000000.0001,55450000000.0,20000000.0,3085000000.0,-5299000000.0,-420000000.0,1566000000.0,91.88
2019-06-30,15388000000.0,10592000000.0,4796000000.0,3920000000.0,876000000.0,708000000.0,1.74,767000000.0,876000000.0,405300000.0,15421000000.0,15421000000.0,858404000000.0001,873825000000.0001,2659000000.0,439614000000.0,17841000000.0,372058000000.0,811672000000.0001,62153000000.0,-109000000.0,5239000000.0,-2738000000.0,-407000000.0,-1805000000.0,101.0
2019-09-30,15105000000.0,9495000000.0,5610000000.0,3885000000.0,1725000000.0,1418000000.0,3.51,2166000000.0,1725000000.0,404100000.0,18289000000.0,18289000000.0,867337000000.0001,885626000000.0001,1490000000.0,445759000000.0,19151000000.0,373553000000.0,819312000000.0001,66314000000.0,441000000.0,7316000000.0,-5079000000.0,-410000000.0,597000000.0,89.95
2019-12-31,19223000000.0,13527000000.0,5696000000.0,4352000000.0,1344000000.0,1128000000.0,2.8200000000000003,1452000000.0,1344000000.0,404800000.0,16327000000.0,16327000000.0,880225000000.0001,896552000000.0001,1933000000.0,447570000000.0,18646000000.0,385263000000.0,832833000000.0001,63719000000.0,108000000.0,3985000000.0,-3912000000.0,-404000000.0,-1992000000.0,93.74
2020-03-31,13464000000.0,9321000000.0,4143000000.0,4481000000.0,-338000000.0,-271000000.0,-0.7000000000000001,-9000000.0,-338000000.0,397000000.0,31646000000.0,31646000000.0,842066000000.0001,873712000000.0001,2539000000.0,469254000000.0001,20149000000.0,343386000000.0,812640000000.0001,61072000000.0,329000000.0,14766000000.0,-5780000000.0,-448000000.0,6359000000.0,52.14
2020-06-30,12115000000.0,10813000000.0,1302000000.0,3634000000.0,-2332000000.0,-2409000000.0,-6.12,-2278000000.0,-2332000000.0,394600000.0,21149000000.0,21149000000.0,894238000000.0001,915387000000.0,1130000000.0,472126000000.0001,20162000000.0,376753000000.0,848879000000.0001,66508000000.0,54000000.0,-1287000000.0,-7569000000.0,-438000000.0,-1672000000.0,60.9
2020-09-30,15425000000.0,10017000000.0,5408000000.0,3961000000.0,1447000000.0,1487000000.0,3.76,1512000000.0,1447000000.0,395300000.0,20658000000.0,20658000000.0,890931000000.0001,911589000000.0,1113000000.0,464192000000.0001,20169000000.0,380507000000.0,844699000000.0001,66890000000.0,65000000.0,-598000000.0,-390000000.0,-439000000.0,379000000.0,63.52
2020-12-31,16029000000.0,11071000000.0,4958000000.0,4058000000.0,900000000.0,819000000.0,2.07,909000000.0,900000000.0,395800000.0,13701000000.0,13701000000.0,927021000000.0,940722000000.0,925000000.0,468950000000.0001,19718000000.0,403562000000.0,872512000000.0001,68210000000.0,9000000.0,-4513000000.0,-2471000000.0,-441000000.0,-183000000.0,78.07
2021-03-31,16952000000.0,9482000000.0,7470000000.0,4056000000.0,3414000000.0,2828000000.0,7.02,3444000000.0,3414000000.0,396300000.0,16099000000.0,16099000000.0,891181000000.0001,907280000000.0,867000000.0,451630000000.0001,19730000000.0,396874000000.0,848504000000.0001,58776000000.0,30000000.0,-3297000000.0,6476000000.0,-471000000.0,-670000000.0,91.1
2021-06-30,15917000000.0,9522000000.0,6395000000.0,3622000000.0,2773000000.0,2158000000.0,5.4,2788000000.0,2773000000.0,391100000.0,15145000000.0,15145000000.0,911316000000.0,926461000000.0,909000000.0,449690000000.0,19670000000.0,413087000000.0,862777000000.0001,63684000000.0,15000000.0,4359000000.0,-3314000000.0,-455000000.0,-1997000000.0,102.47
2021-09-30,21641000000.0,15920000000.0,5721000000.0,3915000000.0,1806000000.0,1506000000.0,3.9,1848000000.0,1806000000.0,384000000.0,15605000000.0,15605000000.0,916977000000.0,932582000000.0,909000000.0,414967000000.0,18687000000.0,455056000000.0001,870023000000.0001,62559000000.0,42000000.0,5417000000.0,-2565000000.0,-448000000.0,-860000000.0,105.2
2021-12-31,16424000000.0,9890000000.0,6534000000.0,4086000000.0,1388000000.0,1192000000.0,3.13,2565000000.0,1388000000.0,378000000.0,12888000000.0,12888000000.0,924694000000.0,937582000000.0,722000000.0,414139000000.0,18622000000.0,460835000000.0001,874974000000.0001,62608000000.0,1177000000.0,3333000000.0,-5939000000.0,-440000000.0,516000000.0,108.24
2022-03-31,13215000000.0,9272000000.0,3943000000.0,4058000000.0,-115000000.0,-38000000.0,-0.1,-97000000.0,-115000000.0,376000000.0,14086000000.0,14086000000.0,863980000000.0001,878066000000.0001,544000000.0,407389000000.0,19689000000.0,425999000000.0,833388000000.0001,44678000000.0,18000000.0,1000000.0,495000000.0,-466000000.0,426000000.0,118.17
2022-06-30,11429000000.0,10070000000.0,2951000000.0,3462000000.0,-511000000.0,-571000000.0,-1.53,-341000000.0,-511000000.0,374000000.0,14359000000.0,14359000000.0,681240000000.0001,695599000000.0001,558000000.0,406006000000.0,19612000000.0,260675000000.0,666681000000.0001,28918000000.0,170000000.0,1501000000.0,-3735000000.0,-455000000.0,1038000000.0,95.68
2022-09-30,20480000000.0,17374000000.0,3106000000.0,3543000000.0,-437000000.0,-290000000.0,-0.78,-563000000.0,-437000000.0,371000000.0,20104000000.0,20104000000.0,657652000000.0001,677756000000.0001,767000000.0,410708000000.0,19898000000.0,249868000000.0,660576000000.0001,17180000000.0,-126000000.0,4278000000.0,-1022000000.0,-450000000.0,2611000000.0,85.78
