,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-03-31,218276000.0,218276000.0,7308000.0,188724000.0,112122000.0,0.33,191124000.0,188724000.0,342901000.0,2116023000.0,2116023000.0,8370216000.0,10486240000.0,0.0,34608000.0,4119263000.0,4316731000.0,4351339000.0,6134900000.0,2400000.0,122483000.0,-345000.0,-345000.0,0.0,612479000.0,18.32
2018-06-30,220975000.0,220975000.0,7160000.0,189448000.0,139044000.0,0.38,191858000.0,189448000.0,369933000.0,2178454000.0,2178454000.0,8386249000.0,10564700000.0,0.0,14254000.0,4120141000.0,4377506000.0,4391760000.0,6172943000.0,2410000.0,124180000.0,-212000.0,-40118000.0,-59278000.0,-61537000.0,20.64
2018-09-30,232687000.0,232687000.0,5678000.0,184100000.0,129912000.0,0.35000000000000003,186524000.0,184100000.0,369935000.0,1541648000.0,1541648000.0,9026853000.0,10568500000.0,0.0,23672000.0,4121153000.0,4337556000.0,4361228000.0,6207273000.0,2424000.0,81854000.0,-1000.0,-792008000.0,-97018000.0,-99113000.0,21.62
2018-12-31,226039000.0,226039000.0,4283000.0,195682000.0,142541000.0,0.37,198110000.0,195682000.0,367226400.0,2301771000.0,2301771000.0,9031597000.0,11333370000.0,0.0,14184000.0,4122264000.0,4418162000.0,4432346000.0,6901022000.0,2428000.0,175565000.0,-155000.0,-308406000.0,-106386000.0,586007000.0,18.78
2019-03-31,214002000.0,214002000.0,6225000.0,201866000.0,150849000.0,0.37,204261000.0,201866000.0,405734000.0,2160889000.0,2160889000.0,9287782000.0,11448670000.0,0.0,24702000.0,4123350000.0,4378081000.0,4402783000.0,7045888000.0,2395000.0,115642000.0,-147000.0,-101160000.0,-116341000.0,9713000.0,21.88
2019-06-30,220746000.0,220746000.0,6518000.0,205495000.0,152049000.0,0.37,208412000.0,205495000.0,412310000.0,2512507000.0,2512507000.0,10009540000.0,12522050000.0,0.0,13965000.0,4124448000.0,4435658000.0,4449623000.0,8072423000.0,2917000.0,147300000.0,-290000.0,-447854000.0,-118077000.0,911464000.0,22.04
2019-09-30,222513000.0,222513000.0,6717000.0,208380000.0,144435000.0,0.31,224196000.0,208380000.0,460666000.0,1987646000.0,1987646000.0,10593820000.0,12581470000.0,0.0,23945000.0,4125473000.0,4483452000.0,4507397000.0,8074069000.0,15816000.0,174257000.0,-948000.0,-806843000.0,-132441000.0,-137456000.0,22.65
2019-12-31,237537000.0,237537000.0,5109000.0,226758000.0,98631000.0,0.21,242495000.0,226758000.0,435071100.0,2342736000.0,2342736000.0,10922880000.0,13265620000.0,0.0,20153000.0,4791563000.0,5196477000.0,5216630000.0,8048989000.0,15737000.0,244960000.0,-295000.0,-5522000.0,-137099000.0,398945000.0,25.55
2020-03-31,255001000.0,255001000.0,7015000.0,88021000.0,-24012000.0,-0.05,95187000.0,88021000.0,465177000.0,3552453000.0,3552453000.0,11354760000.0,14907210000.0,0.0,51162000.0,6754485000.0,7132020000.0,7183182000.0,7724031000.0,7166000.0,137446000.0,-1329000.0,-839579000.0,-137133000.0,1971324000.0,16.64
2020-06-30,257902000.0,257902000.0,7498000.0,308636000.0,229402000.0,0.47000000000000003,314686000.0,308636000.0,489012000.0,4861905000.0,4861905000.0,11415730000.0,16277630000.0,0.0,48828000.0,6758132000.0,7154395000.0,7203223000.0,9074411000.0,6050000.0,181051000.0,-858000.0,-852000.0,-139396000.0,1129253000.0,20.19
2020-09-30,339653000.0,339653000.0,8047000.0,139683000.0,398274000.0,0.75,144961000.0,139683000.0,533408000.0,322220000.0,322220000.0,16529610000.0,16851830000.0,0.0,47106000.0,6761832000.0,7435185000.0,7482291000.0,9369539000.0,5278000.0,221024000.0,30785000.0,-3715918000.0,-158651000.0,-41585000.0,23.37
2020-12-31,373017900.0,373017900.0,8101000.0,368215900.0,288010000.0,0.54,373324900.0,368215900.0,506140600.0,494156000.0,494156000.0,16569460000.0,17063610000.0,0.0,46422000.0,6765532000.0,7569868000.0,7569868000.0,9493745000.0,5109000.0,344119000.0,18684000.0,7590000.0,-177025000.0,-179773000.0,25.5
2021-03-31,374310000.0,374310000.0,8085000.0,349612000.0,269801000.0,0.5,357095000.0,349612000.0,536481000.0,322530000.0,322530000.0,16762470000.0,17085000000.0,21000000.0,47075000.0,6769211000.0,7438234000.0,7485309000.0,9599692000.0,7483000.0,155726000.0,-1247000.0,32409000.0,-178008000.0,-181598000.0,28.24
2021-06-30,376400000.0,376400000.0,7628000.0,384109000.0,300709000.0,0.56,394800000.0,384109000.0,536692000.0,407522000.0,407522000.0,16812030000.0,17219550000.0,15000000.0,45913000.0,6772903000.0,7438566000.0,7484479000.0,9735069000.0,10691000.0,254744000.0,-276000.0,9696000.0,-177248000.0,-179448000.0,31.02
2021-09-30,375704000.0,375704000.0,8379000.0,345267000.0,161862000.0,0.28,380136000.0,345267000.0,555153700.0,670000000.0,669514000.0,16879290000.0,17549000000.0,6000000.0,45078000.0,4984000000.0,5374940000.0,5420000000.0,12050000000.0,34869000.0,200454000.0,3683000.0,-22249000.0,-177104000.0,83787000.0,28.41
2021-12-31,383154000.0,383154000.0,9030000.0,354949000.0,281479000.0,0.44,376449000.0,354949000.0,628632800.0,740000000.0,893190000.0,16704180000.0,17597000000.0,26000000.0,0.0,4965000000.0,5410199000.0,5410000000.0,12108000000.0,21500000.0,285426000.0,8636000.0,21593000.0,-226430000.0,-236919000.0,30.11
2022-03-31,416625000.0,416625000.0,9466000.0,311137000.0,240383000.0,0.35000000000000003,327890000.0,311137000.0,684341000.0,569000000.0,722278000.0,21019040000.0,21741000000.0,29000000.0,0.0,5774000000.0,6257535000.0,6258000000.0,15405000000.0,16753000.0,298173000.0,-454000.0,-4028245000.0,-227863000.0,3559160000.0,28.46
2022-06-30,662623000.0,662623000.0,11782000.0,60100000.0,-57706000.0,-0.06,68711000.0,60100000.0,896545900.0,614000000.0,767577000.0,36521640000.0,37289000000.0,33000000.0,0.0,14525000000.0,15174330000.0,15174000000.0,21762000000.0,8611000.0,652961000.0,-232000.0,-4614111000.0,-269325000.0,4006449000.0,29.79
2022-09-30,751543000.0,751543000.0,12063000.0,480906000.0,330905000.0,0.34,486012000.0,480906000.0,962573600.0,726000000.0,879665000.0,36428320000.0,37308000000.0,14000000.0,0.0,14547000000.0,15245680000.0,15246000000.0,21710000000.0,5106000.0,504343000.0,-472000.0,-246742000.0,-346518000.0,-353219000.0,29.85
